bigscape_edge_id,Clustername 1,Clustername 2,Raw distance,Squared similarity,Jaccard index,DSS index,Adjacency index,raw DSS non-anchor,raw DSS anchor,Non-anchor domains,Anchor domains,Combined group,Shared group
0,CP126094.1.region005,JAUCFF010000009.1.region005,0.0465177632868289,0.9091283679008484,0.9399999976158142,0.9559176564216614,0.8421052694320679,0.0529508329927921,0.0379630774259567,69,25,betalactone.NRPS - betalactone.NRPS,betalactone.NRPS
1,JAUCFX010000005.1.region013,JAVIVO010000016.1.region002,0.038228053599596,0.9250052571296692,0.9555555582046508,0.9626039266586304,0.9245283007621764,0.0347954332828521,0.0442877039313316,53,5,RiPP-like.NRP-metallophore.NRPS - RiPP-like.NRP-metallophore.NRPS,RiPP-like.NRP-metallophore.NRPS
2,JAUCFW010000007.1.region002,JAVIVV010000002.1.region008,0.2622621357440948,0.5442571640014648,0.7692307829856873,0.7371603846549988,0.75,0.2786374986171722,0.2075471729040146,14,1,NI-siderophore - NI-siderophore,NI-siderophore
3,CP126098.1.region009,CP126106.1.region012,0.0401418469846248,0.9213276505470276,1.0,0.9586166739463806,1.0,0.0413833484053611,0.0,14,0,NI-siderophore - NI-siderophore,NI-siderophore
4,CP128183.1.region005,JAVIVO010000001.1.region004,0.392661839723587,0.3688596487045288,0.5581395626068115,0.6085230708122253,0.5744680762290955,0.4198500216007232,0.37757408618927,49,25,betalactone.NRPS - transAT-PKS.betalactone.NRPS,
5,BGC0001095,JAVIVP010000001.1.region005,0.3759135603904724,0.3894838988780975,0.7058823704719543,0.6219356656074524,0.6875,0.3646154999732971,0.4150485396385193,11,1,betalactone - betalactone.NRPS,
6,JAUCEV010000008.1.region003,JAVIWA010000001.1.region003,0.3866111040115356,0.37624591588974,0.5454545617103577,0.6154899597167969,0.5454545617103577,0.3845100402832031,0.0,8,0,NI-siderophore - NI-siderophore,NI-siderophore
7,JAUCET010000002.1.region006,JAUCFF010000009.1.region005,0.1730373203754425,0.6838672757148743,0.6666666865348816,0.834252119064331,0.5535714030265808,0.2409705370664596,0.1221186965703964,58,25,betalactone.NRPS - transAT-PKS.betalactone.NRPS,
8,CP126086.1.region005,CP126096.1.region005,0.0218001827597618,0.9568749070167542,0.9444444179534912,0.9802130460739136,0.8974359035491943,0.0111692091450095,0.0607212409377098,38,2,betalactone - betalactone,betalactone
9,JAUCEQ010000002.1.region013,JAUCET010000002.1.region013,1.7347234759768068e-17,1.0,1.0,1.0,1.0,0.0,0.0,46,0,other - other,other
10,JAVIVN010000001.1.region006,JAVIVY010000003.1.region003,0.0984203666448593,0.8128458261489868,0.936170220375061,0.9027623534202576,0.8269230723381042,0.0976134613156318,0.096335731446743,48,5,NRP-metallophore.NRPS - NRP-metallophore.NRPS,NRP-metallophore.NRPS
11,BGC0001095,JAVIVU010000001.1.region003,0.3567575216293335,0.4137608706951141,0.9473684430122375,0.6355629563331604,0.8636363744735718,0.3304072618484497,0.3763474822044372,35,25,betalactone.NRPS - betalactone.NRPS,betalactone.NRPS
12,JAUCFC010000003.1.region012,JAVIVU010000001.1.region009,0.0130861205980181,0.9739990234375,1.0,0.9865091443061828,1.0,0.0134908454492688,0.0,44,0,other - other,other
13,JAUCFJ010000002.1.region001,JAUCFK010000007.1.region004,0.2718901634216308,0.5301439762115479,0.7727272510528564,0.7292155623435974,0.6521739363670349,0.2907735407352447,0.1658415794372558,21,1,betalactone - betalactone,betalactone
14,JAUCFC010000003.1.region009,JAUCFN010000002.1.region004,0.3737900555133819,0.3921388983726501,0.1666666716337204,0.6401476860046387,0.1800000071525573,0.3280393183231354,0.3757587671279907,10,5,NRP-metallophore.NRPS - NRP-metallophore.NRPS,NRP-metallophore.NRPS
15,CP128118.1.region009,JAUCEN010000002.1.region007,0.0657291188836097,0.8728621006011963,1.0,0.9322380423545836,1.0,0.067761979997158,0.0,14,0,NI-siderophore - NI-siderophore,NI-siderophore
